Timestamp_ms,Centered_EMG,RMS_Envelope
3311061,2.7972,2.7972
3311062,2.7972,2.7972
3311063,1.7972,2.5085
3311064,2.7972,2.5837
3311065,4.7972,3.1532
3311066,3.7972,3.2694
3311067,3.7972,3.3499
3311068,5.7972,3.7443
3311069,4.7972,3.8754
3311070,4.7972,3.9772
3311071,2.7972,3.8848
3311072,2.7972,3.8061
3311073,3.7972,3.8054
3311074,2.7972,3.7424
3311075,2.7972,3.6869
3311076,2.7972,3.6377
3311077,2.7972,3.5937
3311078,2.7972,3.5541
3311079,1.7972,3.4838
3311080,2.7972,3.4527
3311081,2.7972,3.4243
3311082,2.7972,3.3984
3311083,3.7972,3.4167
3311084,3.7972,3.4334
3311085,2.7972,3.4102
3311086,1.7972,3.3625
3311087,2.7972,3.3433
3311088,1.7972,3.3005
3311089,2.7972,3.2845
3311090,2.7972,3.2694
3311091,3.7972,3.2877
3311092,2.7972,3.2735
3311093,3.7972,3.2906
3311094,3.7972,3.3066
3311095,1.7972,3.2732
3311096,-8.2028,3.5050
3311097,1.7972,3.4699
3311098,1.7972,3.4363
3311099,1.7972,3.4042
3311100,1.7972,3.3734
3311101,2.7972,3.3605
3311102,1.7972,3.3318
3311103,1.7972,3.3042
3311104,0.7972,3.2687
3311105,-8.2028,3.4557
3311106,-7.2028,3.5791
3311107,-9.2028,3.7868
3311108,-9.2028,3.9756
3311109,-6.2028,4.0333
3311110,1.7972,4.0009
3311111,1.7972,3.9695
3311112,-8.2028,4.0924
3311113,-6.2028,4.1422
3311114,3.7972,4.1360
3311115,3.7972,4.1301
3311116,3.7972,4.1244
3311117,1.7972,4.0950
3311118,1.7972,4.0664
3311119,4.7972,4.0799
3311120,6.7972,4.1398
3311121,4.7972,4.1514
3311122,2.7972,4.1331
3311123,2.7972,4.1153
3311124,3.7972,4.1105
3311125,3.7972,4.1059
3311126,2.7972,4.0892
3311127,3.7972,4.0850
3311128,2.7972,4.0690
3311129,4.7972,4.0805
3311130,6.7972,4.1319
3311131,6.7972,4.1812
3311132,5.7972,4.2079
3311133,5.7972,4.2337
3311134,4.7972,4.2418
3311135,6.7972,4.2859
3311136,6.7972,4.3284
3311137,6.7972,4.3694
3311138,6.7972,4.4090
3311139,5.7972,4.4293
3311140,3.7972,4.4220
3311141,3.7972,4.4148
3311142,5.7972,4.4343
3311143,3.7972,4.4271
3311144,4.7972,4.4317
3311145,4.7972,4.4362
3311146,4.7972,4.4406
3311147,5.7972,4.4585
3311148,5.7972,4.4760
3311149,6.7972,4.5087
3311150,5.7972,4.5250
3311151,5.7972,4.5409
3311152,2.7972,4.5256
3311153,2.7972,4.5105
3311154,2.7972,4.4957
3311155,4.7972,4.4990
3311156,8.7972,4.5647
3311157,18.7972,4.9259
3311158,17.7972,5.2200
3311159,16.7972,5.4611
3311160,16.7972,5.6874
3311161,8.7972,5.7265
3311162,16.7972,5.9361
3311163,7.7972,5.9570
3311164,7.7972,5.9774
3311165,8.7972,6.0105
3311166,15.7972,6.1757
3311167,7.7972,6.1928
3311168,6.7972,6.1987
3311169,7.7972,6.2152
3311170,8.7972,6.2435
3311171,17.7972,6.4408
3311172,17.7972,6.6288
3311173,8.7972,6.6511
3311174,7.7972,6.6620
3311175,4.7972,6.6480
3311176,6.7972,6.6493
3311177,8.7972,6.6706
3311178,19.7972,6.8878
3311179,17.7972,7.0501
3311180,17.7972,7.2062
3311181,16.7972,7.3371
3311182,15.7972,7.4456
3311183,16.7972,7.5683
3311184,17.7972,7.7053
3311185,7.7972,7.7061
3311186,5.7972,7.6928
3311187,4.7972,7.6743
3311188,16.7972,7.7871
3311189,19.7972,7.9503
3311190,18.7972,8.0894
3311191,17.7972,8.2071
3311192,15.7972,8.2908
3311193,7.7972,8.2872
3311194,8.7972,8.2911
3311195,9.7972,8.3033
3311196,18.7972,8.4282
3311197,19.7972,8.5661
3311198,17.7972,8.6684
3311199,6.7972,8.6564
3311200,6.7972,8.6445
3311201,6.7972,8.6328
3311202,6.7972,8.6212
3311203,4.7972,8.6004
3311204,6.7972,8.5892
3311205,8.7972,8.5906
3311206,16.7972,8.6733
3311207,17.7972,8.7675
3311208,16.7972,8.8462
3311209,7.7972,8.8396
3311210,4.7972,8.8188
3311211,3.7972,8.7950
3311212,-0.2028,8.7660
3311213,1.7972,8.7385
3311214,1.7972,8.7113
3311215,0.7972,8.6834
3311216,-7.2028,8.6747
3311217,-8.2028,8.6718
3311218,0.7972,8.6445
3311219,1.7972,8.6185
3311220,1.7972,8.5927
3311221,2.7972,8.5688
3311222,3.7972,8.5475
3311223,1.7972,8.5224
3311224,1.7972,8.4976
3311225,1.7972,8.4729
3311226,1.7972,8.4485
3311227,2.7972,8.4260
3311228,1.7972,8.4020
3311229,2.7972,8.3799
3311230,2.7972,8.3579
3311231,1.7972,8.3346
3311232,1.7972,8.3115
3311233,2.7972,8.2901
3311234,1.7972,8.2674
3311235,2.7972,8.2465
3311236,1.7972,8.2241
3311237,1.7972,8.2020
3311238,1.7972,8.1800
3311239,2.7972,8.1598
3311240,2.7972,8.1398
3311241,2.7972,8.1199
3311242,1.7972,8.0987
3311243,0.7972,8.0767
3311244,2.7972,8.0574
3311245,0.7972,8.0358
3311246,0.7972,8.0144
3311247,0.7972,7.9931
3311248,2.7972,7.9745
