# Recording Date (IST): 2025-11-07 16:59:34
Timestamp_ms,EMG
3311061,2249
3311062,2249
3311063,2248
3311064,2249
3311065,2251
3311066,2250
3311067,2250
3311068,2252
3311069,2251
3311070,2251
3311071,2249
3311072,2249
3311073,2250
3311074,2249
3311075,2249
3311076,2249
3311077,2249
3311078,2249
3311079,2248
3311080,2249
3311081,2249
3311082,2249
3311083,2250
3311084,2250
3311085,2249
3311086,2248
3311087,2249
3311088,2248
3311089,2249
3311090,2249
3311091,2250
3311092,2249
3311093,2250
3311094,2250
3311095,2248
3311096,2238
3311097,2248
3311098,2248
3311099,2248
3311100,2248
3311101,2249
3311102,2248
3311103,2248
3311104,2247
3311105,2238
3311106,2239
3311107,2237
3311108,2237
3311109,2240
3311110,2248
3311111,2248
3311112,2238
3311113,2240
3311114,2250
3311115,2250
3311116,2250
3311117,2248
3311118,2248
3311119,2251
3311120,2253
3311121,2251
3311122,2249
3311123,2249
3311124,2250
3311125,2250
3311126,2249
3311127,2250
3311128,2249
3311129,2251
3311130,2253
3311131,2253
3311132,2252
3311133,2252
3311134,2251
3311135,2253
3311136,2253
3311137,2253
3311138,2253
3311139,2252
3311140,2250
3311141,2250
3311142,2252
3311143,2250
3311144,2251
3311145,2251
3311146,2251
3311147,2252
3311148,2252
3311149,2253
3311150,2252
3311151,2252
3311152,2249
3311153,2249
3311154,2249
3311155,2251
3311156,2255
3311157,2265
3311158,2264
3311159,2263
3311160,2263
3311161,2255
3311162,2263
3311163,2254
3311164,2254
3311165,2255
3311166,2262
3311167,2254
3311168,2253
3311169,2254
3311170,2255
3311171,2264
3311172,2264
3311173,2255
3311174,2254
3311175,2251
3311176,2253
3311177,2255
3311178,2266
3311179,2264
3311180,2264
3311181,2263
3311182,2262
3311183,2263
3311184,2264
3311185,2254
3311186,2252
3311187,2251
3311188,2263
3311189,2266
3311190,2265
3311191,2264
3311192,2262
3311193,2254
3311194,2255
3311195,2256
3311196,2265
3311197,2266
3311198,2264
3311199,2253
3311200,2253
3311201,2253
3311202,2253
3311203,2251
3311204,2253
3311205,2255
3311206,2263
3311207,2264
3311208,2263
3311209,2254
3311210,2251
3311211,2250
3311212,2246
3311213,2248
3311214,2248
3311215,2247
3311216,2239
3311217,2238
3311218,2247
3311219,2248
3311220,2248
3311221,2249
3311222,2250
3311223,2248
3311224,2248
3311225,2248
3311226,2248
3311227,2249
3311228,2248
3311229,2249
3311230,2249
3311231,2248
3311232,2248
3311233,2249
3311234,2248
3311235,2249
3311236,2248
3311237,2248
3311238,2248
3311239,2249
3311240,2249
3311241,2249
3311242,2248
3311243,2247
3311244,2249
3311245,2247
3311246,2247
3311247,2247
3311248,2249
3311249,2248
3311250,2247
